Targ,Col42,Col26,Col40,Col6,Col24,Col15,Col14
1,0.88,0.8648648648648649,0.9466666666666668,0.59375,0.8867924528301887,0.6666666666666666,0.8653846153846154
1,0.6666666666666666,0.7297297297297297,0.8,0.515625,0.7547169811320755,0.6481481481481481,0.8269230769230769
1,0.7466666666666667,0.6891891891891891,0.64,0.765625,0.6981132075471698,0.9074074074074074,0.8653846153846154
1,0.7333333333333333,0.7297297297297297,0.88,0.5625,0.6226415094339622,0.7962962962962963,0.7115384615384616
1,0.7466666666666667,0.8243243243243243,0.8933333333333333,0.59375,0.8113207547169812,0.8518518518518519,0.7115384615384616
1,0.8533333333333334,0.7162162162162162,0.8666666666666667,0.734375,0.660377358490566,0.8333333333333334,0.75
1,0.6666666666666666,0.7567567567567568,0.52,0.671875,0.6415094339622641,0.6481481481481481,0.8269230769230769
1,0.6933333333333334,0.5135135135135135,0.9066666666666666,0.5,0.3207547169811321,0.5370370370370371,0.4230769230769231
1,0.8533333333333334,0.5135135135135135,0.13333333333333333,0.640625,0.7358490566037735,0.7592592592592593,0.8269230769230769
1,0.64,0.4324324324324325,0.8933333333333333,0.65625,0.6981132075471698,0.6481481481481481,0.7692307692307693
1,0.7466666666666667,0.5,0.7066666666666667,0.59375,0.3018867924528302,0.4814814814814815,0.40384615384615385
1,0.4666666666666667,0.40540540540540543,0.4933333333333334,0.5625,0.33962264150943394,0.6296296296296297,0.8076923076923077
1,0.8,0.7162162162162162,0.72,0.65625,0.8490566037735849,0.6481481481481481,0.8846153846153846
1,0.17333333333333334,0.5,0.6666666666666666,0.453125,0.0,0.6666666666666666,0.0
1,0.28,0.3783783783783784,0.8666666666666667,0.09375,0.2830188679245283,0.12962962962962962,0.4230769230769231
1,0.5866666666666667,0.5135135135135135,0.08,0.5,0.7358490566037735,0.6481481481481481,0.7884615384615384
1,0.8266666666666667,0.7702702702702703,0.8,0.578125,0.7169811320754716,0.7407407407407407,0.903846153846154
1,0.7866666666666666,0.7972972972972973,0.8266666666666667,0.71875,0.4339622641509434,0.8703703703703703,0.7115384615384616
1,0.7066666666666667,0.3648648648648649,0.56,0.65625,0.33962264150943394,0.9074074074074074,0.4230769230769231
1,0.88,0.8648648648648649,0.6133333333333333,0.84375,0.5660377358490566,0.8518518518518519,0.6923076923076923
1,0.7066666666666667,0.4459459459459459,0.76,0.6875,0.5283018867924528,0.7037037037037037,0.8846153846153846
1,0.013333333333333334,0.10810810810810813,0.5466666666666666,0.421875,0.490566037735849,0.7407407407407407,0.903846153846154
1,0.38666666666666666,0.4324324324324325,0.4933333333333334,0.53125,0.5849056603773585,0.2962962962962963,0.7307692307692307
1,0.7733333333333333,0.527027027027027,0.9066666666666666,0.5625,0.7547169811320755,0.6481481481481481,0.75
1,0.8,0.4459459459459459,0.8133333333333334,0.5625,0.7547169811320755,0.6111111111111112,0.9423076923076924
1,0.30666666666666664,0.6891891891891891,0.5866666666666667,0.5,0.6415094339622641,0.7592592592592593,0.8076923076923077
1,0.7466666666666667,0.5945945945945946,0.84,0.609375,0.5849056603773585,0.5740740740740741,0.7115384615384616
1,0.8,0.6891891891891891,0.8133333333333334,0.625,0.660377358490566,0.8703703703703703,0.7884615384615384
1,0.7333333333333333,0.945945945945946,0.8933333333333333,0.640625,0.9056603773584906,0.8703703703703703,0.8076923076923077
