Targ,Col42,Col26,Col40,Col6,Col24,Col15,Col14,Col16,Col4,Col10,Col22,Col36,Col23,Col8,Col2,Col13,Col5,Col32,Col34,Col3
1,0.88,0.8648648648648649,0.9466666666666668,0.59375,0.8867924528301887,0.6666666666666666,0.8653846153846154,0.7681159420289855,0.88,0.7142857142857143,0.7826086956521741,0.671875,0.912280701754386,0.6349206349206349,0.7833333333333333,0.9361702127659576,0.7213114754098361,0.88,0.703125,0.7954545454545454
1,0.6666666666666666,0.7297297297297297,0.8,0.515625,0.7547169811320755,0.6481481481481481,0.8269230769230769,0.7246376811594203,0.74,0.8214285714285714,0.7173913043478259,0.765625,0.8245614035087719,0.6984126984126984,0.8833333333333333,0.8297872340425532,0.6721311475409836,0.8133333333333334,0.71875,0.75
1,0.7466666666666667,0.6891891891891891,0.64,0.765625,0.6981132075471698,0.9074074074074074,0.8653846153846154,0.7101449275362319,0.66,0.8214285714285714,0.7173913043478259,0.796875,0.8596491228070176,0.8253968253968254,0.7166666666666667,0.9787234042553192,0.7540983606557377,0.8666666666666667,0.75,0.6363636363636364
1,0.7333333333333333,0.7297297297297297,0.88,0.5625,0.6226415094339622,0.7962962962962963,0.7115384615384616,0.8405797101449275,0.62,0.8392857142857143,0.6739130434782609,0.859375,0.7192982456140351,0.9206349206349206,0.75,0.6382978723404256,0.7049180327868853,0.84,0.734375,0.6136363636363636
1,0.7466666666666667,0.8243243243243243,0.8933333333333333,0.59375,0.8113207547169812,0.8518518518518519,0.7115384615384616,0.8695652173913043,0.54,0.7678571428571429,0.7173913043478259,0.828125,0.912280701754386,0.7619047619047619,0.65,0.8297872340425532,0.6885245901639344,0.6933333333333334,0.59375,0.7045454545454546
1,0.8533333333333334,0.7162162162162162,0.8666666666666667,0.734375,0.660377358490566,0.8333333333333334,0.75,0.8840579710144928,0.66,0.875,0.6304347826086957,0.890625,0.7894736842105263,0.8253968253968254,0.7,0.851063829787234,0.7213114754098361,0.8,0.703125,0.6590909090909091
1,0.6666666666666666,0.7567567567567568,0.52,0.671875,0.6415094339622641,0.6481481481481481,0.8269230769230769,0.7681159420289855,0.84,0.7857142857142857,0.7608695652173914,0.703125,0.5964912280701754,0.8888888888888888,0.9166666666666666,0.6170212765957447,0.7540983606557377,0.8266666666666667,0.65625,0.8863636363636364
1,0.6933333333333334,0.5135135135135135,0.9066666666666666,0.5,0.3207547169811321,0.5370370370370371,0.4230769230769231,0.6086956521739131,0.48,0.5535714285714286,0.8043478260869565,0.84375,0.4035087719298245,0.9206349206349206,0.7,0.3404255319148936,0.639344262295082,0.72,0.5625,0.5454545454545454
1,0.8533333333333334,0.5135135135135135,0.13333333333333333,0.640625,0.7358490566037735,0.7592592592592593,0.8269230769230769,0.6666666666666666,0.7,0.8035714285714286,0.7826086956521741,0.421875,0.7017543859649122,0.5555555555555556,0.6666666666666666,1.0,0.8032786885245902,0.9333333333333332,0.65625,0.75
1,0.64,0.4324324324324325,0.8933333333333333,0.65625,0.6981132075471698,0.6481481481481481,0.7692307692307693,0.7101449275362319,0.8,0.7678571428571429,0.6739130434782609,0.8125,0.7192982456140351,0.8412698412698413,0.7833333333333333,0.6808510638297872,0.6721311475409836,0.92,0.796875,0.7954545454545454
